tx_id,user_id,timestamp,status,amount
tx_user_1_0,user_1,2025-11-19T13:47:31.647914,pending,14.11
tx_user_1_1,user_1,2025-11-02T15:16:04.653516,confirmed,11.18
tx_user_1_2,user_1,2025-11-04T00:28:44.375934,confirmed,61.21
tx_user_1_3,user_1,2025-11-02T17:07:43.391963,confirmed,0.26
tx_user_1_4,user_1,2025-11-10T12:18:25.457471,confirmed,82.06
tx_user_1_5,user_1,2025-11-07T06:51:19.275322,confirmed,66.83
tx_user_1_6,user_1,2025-11-25T19:55:28.129322,confirmed,49.71
tx_user_1_7,user_1,2025-11-17T14:31:50.637976,confirmed,96.14
tx_user_1_8,user_1,2025-11-09T17:11:31.378811,confirmed,1.97
tx_user_1_9,user_1,2025-11-17T00:23:27.914657,confirmed,67.42
tx_user_1_10,user_1,2025-11-25T17:50:27.279614,confirmed,110.1
tx_user_2_0,user_2,2025-11-20T14:00:27.365202,confirmed,55.74
tx_user_2_1,user_2,2025-11-08T21:53:08.860408,confirmed,52.69
tx_user_2_2,user_2,2025-11-10T20:20:35.921822,confirmed,74.11
tx_user_2_3,user_2,2025-11-23T22:00:28.487374,pending,79.63
tx_user_2_4,user_2,2025-11-16T14:27:22.864336,confirmed,61.9
tx_user_2_5,user_2,2025-11-24T03:16:40.704596,pending,53.12
tx_user_2_6,user_2,2025-11-13T23:05:51.302444,pending,12.11
tx_user_2_7,user_2,2025-11-20T15:57:13.939250,pending,54.57
tx_user_2_8,user_2,2025-11-24T23:16:18.155821,confirmed,61.99
tx_user_2_9,user_2,2025-11-19T04:15:19.862996,confirmed,74.62
tx_user_3_0,user_3,2025-11-25T17:28:53.047207,pending,72.59
tx_user_3_1,user_3,2025-11-14T21:36:13.298570,confirmed,48.29
tx_user_3_2,user_3,2025-11-28T06:59:44.485583,confirmed,102.01
tx_user_3_3,user_3,2025-11-28T18:12:21.271202,confirmed,24.93
tx_user_3_4,user_3,2025-11-28T16:16:13.627775,pending,13.09
tx_user_3_5,user_3,2025-11-25T20:53:00.103833,confirmed,65.18
tx_user_3_6,user_3,2025-11-22T09:00:28.007877,confirmed,78.6
tx_user_3_7,user_3,2025-11-18T20:15:41.595886,confirmed,66.46
tx_user_3_8,user_3,2025-11-02T23:42:57.538378,confirmed,21.05
tx_user_3_9,user_3,2025-11-07T16:31:19.600849,confirmed,57.33
tx_user_3_10,user_3,2025-11-20T10:52:41.036173,confirmed,48.54
tx_user_4_0,user_4,2025-11-25T22:27:48.540587,pending,49.97
tx_user_4_1,user_4,2025-11-29T19:09:33.306787,confirmed,48.17
