tx_frequency,conversion_rate,tx_count,label
0.0,0.7026,1,0
1.3249,0.5551,6,0
1.5196,0.0342,10,1
2.6038,0.2655,8,1
1.2691,0.7345,3,0
1.2685,0.721,9,0
0.2006,0.8399,0,0
0.3478,0.1962,9,1
0.1846,0.7726,18,0
0.6759,0.2758,5,1
0.0,0.5336,1,0
0.0,1.0,0,0
0.1474,0.6651,2,0
0.2658,0.3886,14,0
1.0079,0.8293,16,0
0.4843,0.9318,12,0
0.0,0.9361,7,0
1.8237,0.9131,17,0
0.1509,0.4751,10,0
0.926,1.0,10,0
1.4503,0.0758,13,1
0.0,1.0,10,0
0.9138,0.0924,8,1
0.2674,1.0,9,0
0.0,0.8192,17,0
0.0172,0.0804,15,1
0.0,0.9808,16,0
1.5337,0.6817,1,0
0.1603,0.8696,4,0
0.5687,0.3137,14,0
0.8578,0.0621,15,1
0.0,0.7431,4,0
0.0,0.9254,3,0
0.017,0.9146,8,0
0.0,0.6768,9,0
0.0184,0.8451,12,0
0.0,0.8983,1,0
0.0,0.8912,0,0
0.5612,0.4906,7,0
0.3756,1.0,7,0
1.1223,0.9826,14,0
0.5022,0.7786,13,0
0.0,0.9795,3,0
1.1765,0.1259,9,1
1.9021,0.0883,14,1
0.0,1.0,9,0
0.2422,1.0,17,0
2.1137,0.1152,7,1
1.1976,0.634,2,0
0.4144,0.9725,0,0
0.0,0.9002,5,0
0.5771,0.6613,12,0
2.2556,1.0,5,0
2.7144,0.8092,16,0
0.0064,0.7189,6,0
0.0,0.9326,6,0
0.446,0.8713,0,0
3.5656,0.5063,14,0
0.0,0.7239,2,0
0.6437,0.9755,8,0
1.2294,0.9081,8,0
0.1794,0.8979,9,0
6.7222,0.1956,8,1
0.0,0.521,7,0
0.0,0.876,0,0
1.4667,1.0,11,0
0.0,0.8218,13,0
1.7579,0.1721,8,1
0.6215,0.9263,12,0
1.2528,0.409,7,0
0.1127,0.6657,8,0
8.5784,0.1413,7,1
0.0,0.882,0,0
0.0,0.8293,6,0
0.0,0.7543,0,0
1.3327,0.0445,8,1
0.4051,0.6644,12,0
2.5146,0.9192,6,0
0.0,0.4965,18,0
3.3472,0.2225,9,1
